Nrun	ID	Time	Size	A	B	Width	Length	Dis	Miss	Azwidth	Alpha
1	001927	15:59:11,482.442.190	283	0.400	8.164	1.167	4.236	19.066	7.581	6.168	0.409
1	001959	15:59:11,644.993.280	186	-0.386	21.956	1.248	1.703	27.499	20.486	4.908	0.841
1	001975	15:59:11,749.217.690	79	-0.479	-12.150	1.098	1.956	11.096	10.958	4.493	1.413
1	002010	15:59:11,862.417.920	230	-0.464	5.232	2.968	5.596	23.233	4.747	10.541	0.206
1	002040	15:59:12,002.852.210	104	0.309	-1.723	0.656	2.482	19.847	1.646	1.056	0.083
1	002050	15:59:12,056.751.070	49	1.252	-31.094	1.189	1.560	19.409	19.400	3.374	1.541
1	002062	15:59:12,094.349.050	104	0.028	-26.200	0.673	3.122	34.087	26.190	6.217	0.876
1	002063	15:59:12,096.645.720	85	1.673	-10.330	1.025	6.570	20.781	5.301	3.122	0.258
1	002069	15:59:12,106.424.920	290	-54.600	-456.430	1.239	3.084	8.709	8.358	14.774	1.286
1	002076	15:59:12,139.468.190	421	1.073	-51.693	2.109	3.433	35.310	35.243	14.941	1.509
1	002085	15:59:12,172.867.950	168	2.087	-3.654	1.131	2.281	17.993	1.579	1.508	0.088
1	002090	15:59:12,191.317.210	69	23.220	433.802	0.878	3.049	18.668	18.665	10.598	1.552
1	002092	15:59:12,196.934.870	441	0.703	-41.499	1.229	4.071	34.400	33.947	17.552	1.408
1	002111	15:59:12,245.107.370	55	-0.989	-35.305	0.835	2.010	25.797	25.105	4.724	1.339
1	002113	15:59:12,250.151.260	616	0.507	-12.316	1.640	6.015	21.022	10.984	18.349	0.550
1	002136	15:59:12,393.705.170	93	9.166	-188.007	0.682	3.351	22.362	20.390	12.735	1.148
1	002144	15:59:12,424.509.480	290	0.567	32.181	1.450	4.083	28.803	27.993	25.222	1.333
1	002154	15:59:12,512.477.980	525	0.808	-44.732	1.099	4.784	34.963	34.796	23.602	1.473
1	002167	15:59:12,577.891.460	705	-0.901	-6.217	4.801	13.223	29.881	4.619	23.713	0.155
1	002175	15:59:12,637.851.480	136	-0.841	11.157	1.465	6.643	23.049	8.537	8.946	0.379
1	002245	15:59:13,018.326.250	137	0.161	4.412	1.510	4.139	25.458	4.356	3.330	0.172
1	002246	15:59:13,020.220.330	1345	-0.399	29.666	1.932	7.650	32.392	27.557	85.520	1.017
1	002265	15:59:13,092.824.990	77	-1.157	-17.589	0.945	2.727	11.592	11.500	10.222	1.444
1	002293	15:59:13,223.901.790	74	0.023	-13.289	0.884	2.763	16.286	13.286	4.876	0.954
1	002313	15:59:13,325.382.570	161	-6.005	14.263	1.169	2.138	31.745	2.343	1.863	0.074
1	002314	15:59:13,348.802.860	498	0.540	-27.441	1.566	2.584	34.019	24.143	7.810	0.789
1	002325	15:59:13,403.444.190	77	1.245	-10.580	1.294	2.503	19.667	6.624	3.118	0.344
1	002354	15:59:13,556.574.900	265	0.955	14.952	0.825	2.893	28.345	10.814	3.228	0.391
1	002356	15:59:13,582.819.990	232	-3.249	-10.465	1.462	2.663	24.478	3.078	4.577	0.126
1	002361	15:59:13,593.004.710	421	9.222	-95.983	1.429	3.075	19.135	10.348	8.363	0.571
1	002404	15:59:13,794.755.190	148	-0.912	-16.558	1.254	2.786	21.858	12.235	4.702	0.594
1	002426	15:59:13,924.503.930	980	-1.718	20.358	3.215	4.404	33.542	10.242	20.082	0.310
1	002434	15:59:13,953.006.350	91	-0.449	5.358	1.166	2.622	27.535	4.888	1.597	0.178
1	002472	15:59:14,108.681.370	82	20.764	-247.777	1.194	2.586	12.418	11.919	8.119	1.286
1	002477	15:59:14,140.241.500	57	-1.034	3.972	0.820	1.793	19.153	2.762	1.165	0.145
1	002530	15:59:14,363.328.530	135	-0.767	3.275	0.000	2.895	4.377	2.598	3.966	0.636
1	002537	15:59:14,398.220.330	60	-0.020	20.638	1.223	2.176	23.362	20.634	4.258	1.083
1	002563	15:59:14,559.120.470	72	104.164	1995.437	1.291	1.737	19.546	19.156	4.481	1.371
1	002579	15:59:14,639.813.800	1151	5.596	-155.791	2.273	3.248	32.909	27.406	16.482	0.984
1	002586	15:59:14,671.357.290	206	0.285	3.565	1.013	2.495	25.200	3.429	1.733	0.136
